Name:[Generated POMDP] # 
OBSERVATIONS: [O_start, Flrb, O_abs, FlrB, FlRB, flrB, fLRB, FLrB, flRb, A, fLRb, C, B, fLrb, D, FLRb] #
STATES: [{S; 1; O_start; T}, {T; 1; O_abs; F}, {s1x1xS; 3; FlRB; F}, {s1x1xE; 3; fLRB; F}, {s1x1xW; 3; FLRb; F}, {s1x1xN; 3; FLrB; F}, {s1x2xS; 3; FlrB; F}, {s1x2xE; 3; fLRb; F}, {s1x2xW; 3; fLRb; F}, {s1x2xN; 3; FlrB; F}, {s1x3xS; 3; flrB; F}, {s1x3xE; 3; fLrb; F}, {s1x3xW; 3; flRb; F}, {s1x3xN; 3; Flrb; F}, {s1x4xS; 3; FlrB; F}, {s1x4xE; 3; fLRb; F}, {s1x4xW; 3; fLRb; F}, {s1x4xN; 3; FlrB; F}, {s1x5xS; 3; flrB; F}, {s1x5xE; 3; fLrb; F}, {s1x5xW; 3; flRb; F}, {s1x5xN; 3; Flrb; F}, {s1x6xS; 3; FlrB; F}, {s1x6xE; 3; fLRb; F}, {s1x6xW; 3; fLRb; F}, {s1x6xN; 3; FlrB; F}, {s1x7xS; 3; flrB; F}, {s1x7xE; 3; fLrb; F}, {s1x7xW; 3; flRb; F}, {s1x7xN; 3; Flrb; F}, {s1x8xS; 3; FlrB; F}, {s1x8xE; 3; fLRb; F}, {s1x8xW; 3; fLRb; F}, {s1x8xN; 3; FlrB; F}, {s1x9xS; 3; flrB; F}, {s1x9xE; 3; fLrb; F}, {s1x9xW; 3; flRb; F}, {s1x9xN; 3; Flrb; F}, {s1x10xS; 3; FlrB; F}, {s1x10xE; 3; fLRb; F}, {s1x10xW; 3; fLRb; F}, {s1x10xN; 3; FlrB; F}, {s1x11xS; 3; FLrB; F}, {s1x11xE; 3; FLRb; F}, {s1x11xW; 3; fLRB; F}, {s1x11xN; 3; FlRB; F}, {s2x3xS; 3; A; F}, {s2x3xE; 3; FlRB; F}, {s2x3xW; 3; FLrB; F}, {s2x3xN; 3; fLRB; F}, {s2x5xS; 3; B; F}, {s2x5xE; 3; FlRB; F}, {s2x5xW; 3; FLrB; F}, {s2x5xN; 3; fLRB; F}, {s2x7xS; 3; C; F}, {s2x7xE; 3; FlRB; F}, {s2x7xW; 3; FLrB; F}, {s2x7xN; 3; fLRB; F}, {s2x9xS; 3; D; F}, {s2x9xE; 3; FlRB; F}, {s2x9xW; 3; FLrB; F}, {s2x9xN; 3; fLRB; F}] #
ACTIONS:[F,L,R] #
TRANSITIONS: [T,R,{T}] #
TRANSITIONS: [T,L,{T}] #
TRANSITIONS: [T,F,{T}] #
TRANSITIONS: [s1x1xS,F,{T}] #
TRANSITIONS: [s1x1xS,F,{s1x1xS}] #
TRANSITIONS: [s1x1xS,L,{s1x1xE}] #
TRANSITIONS: [s1x1xS,L,{s1x1xS}] #
TRANSITIONS: [s1x1xS,R,{s1x1xW}] #
TRANSITIONS: [s1x1xS,R,{s1x1xS}] #
TRANSITIONS: [S,F,{s1x1xS}] #
TRANSITIONS: [S,L,{s1x1xS}] #
TRANSITIONS: [S,R,{s1x1xS}] #
TRANSITIONS: [s1x1xE,F,{s1x2xE}] #
TRANSITIONS: [s1x1xE,F,{s1x1xE}] #
TRANSITIONS: [s1x1xE,L,{s1x1xN}] #
TRANSITIONS: [s1x1xE,L,{s1x1xE}] #
TRANSITIONS: [s1x1xE,R,{s1x1xS}] #
TRANSITIONS: [s1x1xE,R,{s1x1xE}] #
TRANSITIONS: [S,F,{s1x1xE}] #
TRANSITIONS: [S,L,{s1x1xE}] #
TRANSITIONS: [S,R,{s1x1xE}] #
TRANSITIONS: [s1x1xW,F,{T}] #
TRANSITIONS: [s1x1xW,F,{s1x1xW}] #
TRANSITIONS: [s1x1xW,L,{s1x1xS}] #
TRANSITIONS: [s1x1xW,L,{s1x1xW}] #
TRANSITIONS: [s1x1xW,R,{s1x1xN}] #
TRANSITIONS: [s1x1xW,R,{s1x1xW}] #
TRANSITIONS: [S,F,{s1x1xW}] #
TRANSITIONS: [S,L,{s1x1xW}] #
TRANSITIONS: [S,R,{s1x1xW}] #
TRANSITIONS: [s1x1xN,F,{T}] #
TRANSITIONS: [s1x1xN,F,{s1x1xN}] #
TRANSITIONS: [s1x1xN,L,{s1x1xW}] #
TRANSITIONS: [s1x1xN,L,{s1x1xN}] #
TRANSITIONS: [s1x1xN,R,{s1x1xE}] #
TRANSITIONS: [s1x1xN,R,{s1x1xN}] #
TRANSITIONS: [S,F,{s1x1xN}] #
TRANSITIONS: [S,L,{s1x1xN}] #
TRANSITIONS: [S,R,{s1x1xN}] #
TRANSITIONS: [s1x2xS,F,{T}] #
TRANSITIONS: [s1x2xS,F,{s1x2xS}] #
TRANSITIONS: [s1x2xS,L,{s1x2xE}] #
TRANSITIONS: [s1x2xS,L,{s1x2xS}] #
TRANSITIONS: [s1x2xS,R,{s1x2xW}] #
TRANSITIONS: [s1x2xS,R,{s1x2xS}] #
